imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
1498870,http://www.imdb.com/title/tt1498870,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It (2010),2.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMjA4MTg0MV5BMl5BanBnXkFtZTgwMzU2MzAxMzE@._V1_UY268_CR4,0,182,268_AL_.jpg"
63493,http://www.imdb.com/title/tt63493,Reconstruction (1968),8.2,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWVlZmE4ODgtYWE5NS00NDk4LWI3NWMtNGFjM2UzMDNjNDBiXkEyXkFqcGdeQXVyMTM3OTE2Mzg@._V1_UY268_CR3,0,182,268_AL_.jpg"
1263778,http://www.imdb.com/title/tt1263778,The Beautiful Person (2008),6.8,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTM0MjMxNF5BMl5BanBnXkFtZTcwOTU0MTAxMw@@._V1_UY268_CR2,0,182,268_AL_.jpg"
995747,http://www.imdb.com/title/tt995747,Mermaid (2007),7.3,Comedy|Drama|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNWJjMDgtMjk0MS00OTk5LWE5YmQtZGVjOTAzNmQyMTFhXkEyXkFqcGdeQXVyMzQzNDc4NTQ@._V1_UY268_CR2,0,182,268_AL_.jpg"
790612,http://www.imdb.com/title/tt790612,Humble Pie (2007),6.3,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3ODg0MTAwMF5BMl5BanBnXkFtZTcwMDU3ODc4Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg"
49259,http://www.imdb.com/title/tt49259,Gervaise (1956),7.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzEwNzgyMDg1N15BMl5BanBnXkFtZTcwMjE0NTEwOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
857275,http://www.imdb.com/title/tt857275,Wonderful World (2009),6.2,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMjE5NDkzM15BMl5BanBnXkFtZTcwMDkwNjQwMw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
997246,http://www.imdb.com/title/tt997246,Avaze gonjeshk-ha (2008),7.9,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyOTM3MTI5MjJeQTJeQWpwZ15BbWU3MDI5Nzg0MjI@._V1_UY268_CR0,0,182,268_AL_.jpg"
1258197,http://www.imdb.com/title/tt1258197,Exam (2009),6.9,Mystery|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDg2NzM2NzIwNF5BMl5BanBnXkFtZTcwODE2ODc1Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg"
65233,http://www.imdb.com/title/tt65233,"Go, Go, Second Time Virgin (1969)",7.7,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2OTM3MTIwOV5BMl5BanBnXkFtZTcwMzE5MDQyMQ@@._V1_UY268_CR6,0,182,268_AL_.jpg"
110278,http://www.imdb.com/title/tt110278,The Corridor (1995),7.2,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjBlODRlOGUtNjE2Ny00MGZkLWFkYjQtNDQyNjI0NWNkY2U5XkEyXkFqcGdeQXVyNTU2NTM4NjQ@._V1_UY268_CR5,0,182,268_AL_.jpg"
32846,http://www.imdb.com/title/tt32846,No Time for Comedy (1940),6.4,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjVlMGFkZDgtOGJkNy00ODQzLWJjMTQtY2VkMWQ5MmU0NjUyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
