imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
68897,http://www.imdb.com/title/tt68897,The Magnificent Seven Ride! (1972),5.6,Action|Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1Nzg5NDAwNl5BMl5BanBnXkFtZTcwNTM1ODE1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
49902,http://www.imdb.com/title/tt49902,Un condamn�� �� mort s'est ��chapp�� ou Le vent souffle o�_ il veut (1956),8.2,Drama|Thriller|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwNzg1MDIyN15BMl5BanBnXkFtZTcwNTgwMDYyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
47216,http://www.imdb.com/title/tt47216,Marcelino pan y vino (1955),7.3,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDk2MDI4NF5BMl5BanBnXkFtZTcwMjk0NDYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
59470,http://www.imdb.com/title/tt59470,Morituri (1965),7,Action|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWVlMjA3MTktNzA3Ni00ZTEwLTk4NTUtOTI2MzhmYzEwYmZjXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
54240,http://www.imdb.com/title/tt54240,Orgy of the Dead (1965),2.8,Fantasy|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NzYzNTgzNl5BMl5BanBnXkFtZTcwMjkzODUyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
63592,http://www.imdb.com/title/tt63592,Shalako (1968),5.5,Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTI1ZmMwNGYtYzEwZi00NTQ3LWE1NTItNDdhNDA5Njg3MDM2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY268_CR3,0,182,268_AL_.jpg"
100602,http://www.imdb.com/title/tt100602,A Shock to the System (1990),6.8,Comedy|Crime|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyNzkyMTY2N15BMl5BanBnXkFtZTcwODg1MjgyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
69280,http://www.imdb.com/title/tt69280,Slaughterhouse-Five (1972),7,Comedy|Drama|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjE5MzE4ODAyMV5BMl5BanBnXkFtZTgwMTU3NTk4MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
351770,http://www.imdb.com/title/tt351770,Son fr��re (2003),6.7,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1OTcwOTM0NF5BMl5BanBnXkFtZTcwODM3MjQyMQ@@._V1_UY268_CR9,0,182,268_AL_.jpg"
35530,http://www.imdb.com/title/tt35530,Wake Island (1942),7,Action|Drama|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxZGJlMDYtN2M3Yy00Njc1LTg2ZmItNDhiMzg2ODY2MGM5XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UY268_CR1,0,182,268_AL_.jpg"
45323,http://www.imdb.com/title/tt45323,What Price Glory (1952),6.3,Comedy|Drama|Musical,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzE1ZTk5NWUtZDhiNi00ZWY4LWI2NTAtNmZhYzU1Y2ViZTA1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
35583,http://www.imdb.com/title/tt35583,You Were Never Lovelier (1942),7.3,Comedy|Musical|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzdhZjdhNzUtMGIxMy00ZjUwLWIzYTQtMzU3YWY0ZmExYjUwXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_UX182_CR0,0,182,268_AL_.jpg"
